second,bucket,sessions
1970/01/01 06:00:03,udp,1
1970/01/01 06:00:17,tcp-syn,5
1970/01/01 06:00:23,udp,4
1970/01/01 06:00:24,tcp-syn,2
1970/01/01 06:00:29,udp,1
1970/01/01 06:00:46,tcp-syn,1
1970/01/01 06:00:51,udp,2
1970/01/01 06:00:52,tcp-syn,1
1970/01/01 06:00:53,tcp-syn,1
1970/01/01 06:01:02,tcp-syn,1
1970/01/01 06:01:05,tcp-syn,1
1970/01/01 06:01:16,tcp-syn,2
1970/01/01 06:01:24,tcp-syn,1
1970/01/01 06:01:25,tcp-syn,3
1970/01/01 06:01:33,tcp-syn,2
1970/01/01 06:01:34,tcp-syn,2
1970/01/01 06:01:35,tcp-syn,2
1970/01/01 06:01:37,udp,2
1970/01/01 06:01:43,tcp-syn,2
1970/01/01 06:01:43,udp,1
1970/01/01 06:01:55,tcp-syn,1
1970/01/01 06:01:59,tcp-syn,1
1970/01/01 06:02:01,tcp-syn,3
1970/01/01 06:02:03,tcp-syn,1
1970/01/01 06:02:04,udp,1
1970/01/01 06:02:06,tcp-syn,1
1970/01/01 06:02:14,tcp-syn,1
1970/01/01 06:02:20,tcp-syn,1
1970/01/01 06:02:26,tcp-syn,1
1970/01/01 06:02:26,udp,1
1970/01/01 06:02:31,tcp-syn,2
1970/01/01 06:02:34,tcp-syn,1
1970/01/01 06:02:38,tcp-syn,1
1970/01/01 06:02:43,udp,1
1970/01/01 06:02:53,tcp-syn,1
1970/01/01 06:03:02,tcp-syn,1
1970/01/01 06:03:15,tcp-syn,1
1970/01/01 06:03:16,tcp-syn,1
1970/01/01 06:03:20,tcp-syn,1
1970/01/01 06:03:21,tcp-syn,1
1970/01/01 06:03:26,tcp-syn,2
1970/01/01 06:03:28,tcp-syn,2
1970/01/01 06:03:35,tcp-syn,2
1970/01/01 06:03:43,tcp-syn,1
1970/01/01 06:03:59,tcp-syn,1
1970/01/01 06:04:03,tcp-syn,1
1970/01/01 06:04:09,tcp-syn,1
1970/01/01 06:04:12,tcp-syn,4
1970/01/01 06:04:15,tcp-syn,2
1970/01/01 06:04:20,tcp-syn,2
1970/01/01 06:04:28,tcp-syn,1
1970/01/01 06:04:34,tcp-syn,1
1970/01/01 06:04:39,udp,1
1970/01/01 06:04:42,udp,2
1970/01/01 06:04:43,udp,2
1970/01/01 06:04:47,tcp-syn,1
1970/01/01 06:04:48,tcp-syn,2
1970/01/01 06:04:50,udp,5
1970/01/01 06:04:53,tcp-syn,1
1970/01/01 06:05:01,tcp-syn,2
1970/01/01 06:05:06,tcp-syn,1
1970/01/01 06:05:13,tcp-syn,1
1970/01/01 06:05:15,tcp-syn,1
1970/01/01 06:05:17,tcp-syn,1
1970/01/01 06:05:19,udp,1
1970/01/01 06:05:30,tcp-syn,2
1970/01/01 06:05:38,tcp-syn,1
1970/01/01 06:05:43,udp,1
1970/01/01 06:05:47,tcp-syn,1
1970/01/01 06:05:54,tcp-syn,5
1970/01/01 06:06:00,tcp-syn,1
1970/01/01 06:06:01,tcp-syn,1
1970/01/01 06:06:08,tcp-syn,1
1970/01/01 06:06:10,tcp-syn,1
1970/01/01 06:06:19,tcp-syn,2
1970/01/01 06:06:30,tcp-syn,2
1970/01/01 06:06:31,tcp-syn,1
1970/01/01 06:06:34,tcp-syn,1
1970/01/01 06:06:37,tcp-syn,2
1970/01/01 06:06:44,udp,1
1970/01/01 06:06:48,tcp-syn,1
1970/01/01 06:06:52,tcp-syn,1
1970/01/01 06:06:56,icmp,1
1970/01/01 06:06:57,tcp-syn,1
1970/01/01 06:06:57,udp,1
1970/01/01 06:07:15,udp,1
1970/01/01 06:07:16,tcp-syn,2
1970/01/01 06:07:21,tcp-syn,2
1970/01/01 06:07:28,tcp-syn,1
1970/01/01 06:07:32,tcp-syn,5
1970/01/01 06:07:46,tcp-syn,1
1970/01/01 06:07:53,tcp-syn,2
1970/01/01 06:07:54,tcp-syn,1
1970/01/01 06:08:08,tcp-syn,1
1970/01/01 06:08:18,tcp-syn,1
1970/01/01 06:08:19,tcp-syn,1
1970/01/01 06:08:26,tcp-syn,1
1970/01/01 06:08:33,tcp-syn,1
1970/01/01 06:08:34,tcp-syn,1
1970/01/01 06:08:37,tcp-syn,1
1970/01/01 06:08:41,tcp-syn,2
1970/01/01 06:08:50,tcp-syn,1
1970/01/01 06:08:54,tcp-syn,1
1970/01/01 06:08:56,tcp-syn,2
1970/01/01 06:08:59,udp,1
1970/01/01 06:09:01,tcp-syn,1
1970/01/01 06:09:04,tcp-syn,1
1970/01/01 06:09:07,tcp-syn,3
1970/01/01 06:09:13,udp,3
1970/01/01 06:09:23,tcp-syn,1
1970/01/01 06:09:28,tcp-syn,2
1970/01/01 06:09:34,tcp-syn,1
1970/01/01 06:09:40,tcp-syn,2
1970/01/01 06:09:43,tcp-syn,2
1970/01/01 06:10:01,tcp-syn,1
1970/01/01 06:10:03,tcp-syn,1
1970/01/01 06:10:07,udp,5
1970/01/01 06:10:13,tcp-syn,1
1970/01/01 06:10:18,tcp-syn,1
1970/01/01 06:10:21,tcp-syn,2
1970/01/01 06:10:22,udp,1
1970/01/01 06:10:23,tcp-syn,1
1970/01/01 06:10:24,tcp-syn,4
1970/01/01 06:10:25,tcp-syn,1
1970/01/01 06:10:32,tcp-syn,1
1970/01/01 06:10:33,tcp-syn,1
1970/01/01 06:10:36,tcp-syn,1
1970/01/01 06:10:40,icmp,2
1970/01/01 06:10:44,tcp-syn,1
1970/01/01 06:10:56,tcp-syn,2
1970/01/01 06:10:56,udp,2
1970/01/01 06:10:59,tcp-syn,1
1970/01/01 06:11:03,tcp-syn,1
1970/01/01 06:11:04,tcp-syn,1
1970/01/01 06:11:06,tcp-syn,2
1970/01/01 06:11:12,tcp-syn,2
1970/01/01 06:11:19,udp,1
1970/01/01 06:11:19,icmp,1
1970/01/01 06:11:29,tcp-syn,2
1970/01/01 06:11:32,tcp-syn,1
1970/01/01 06:11:38,tcp-syn,2
1970/01/01 06:11:41,tcp-syn,1
1970/01/01 06:11:46,tcp-syn,1
1970/01/01 06:11:47,tcp-syn,1
1970/01/01 06:11:56,tcp-syn,2
1970/01/01 06:11:59,tcp-syn,2
1970/01/01 06:12:00,tcp-syn,1
1970/01/01 06:12:02,tcp-syn,2
1970/01/01 06:12:04,tcp-syn,1
1970/01/01 06:12:12,tcp-syn,1
1970/01/01 06:12:29,tcp-syn,2
1970/01/01 06:12:51,tcp-syn,1
1970/01/01 06:12:53,tcp-syn,1
1970/01/01 06:12:55,tcp-syn,2
1970/01/01 06:13:03,tcp-syn,1
1970/01/01 06:13:05,tcp-syn,2
1970/01/01 06:13:06,udp,2
1970/01/01 06:13:09,tcp-syn,2
1970/01/01 06:13:10,tcp-syn,1
1970/01/01 06:13:11,tcp-syn,1
1970/01/01 06:13:17,tcp-syn,1
1970/01/01 06:13:20,tcp-syn,1
1970/01/01 06:13:26,tcp-syn,2
1970/01/01 06:13:27,tcp-syn,2
1970/01/01 06:13:32,tcp-syn,1
1970/01/01 06:13:33,tcp-syn,1
1970/01/01 06:13:35,tcp-syn,2
1970/01/01 06:13:44,tcp-syn,1
1970/01/01 06:14:02,tcp-syn,2
1970/01/01 06:14:04,tcp-syn,1
1970/01/01 06:14:06,other-ip,1
1970/01/01 06:14:08,tcp-syn,1
1970/01/01 06:14:09,tcp-syn,1
1970/01/01 06:14:18,tcp-syn,1
1970/01/01 06:14:20,tcp-syn,1
1970/01/01 06:14:30,tcp-syn,1
1970/01/01 06:14:31,tcp-syn,2
1970/01/01 06:14:37,udp,1
1970/01/01 06:14:40,tcp-syn,1
1970/01/01 06:14:41,tcp-syn,1
1970/01/01 06:14:42,tcp-syn,3
1970/01/01 06:14:44,udp,1
1970/01/01 06:14:52,tcp-syn,1
1970/01/01 06:14:58,tcp-syn,1
1970/01/01 06:14:58,icmp,1
1970/01/01 06:15:01,tcp-syn,1
1970/01/01 06:15:13,tcp-syn,2
1970/01/01 06:15:14,tcp-syn,1
1970/01/01 06:15:26,tcp-syn,1
1970/01/01 06:15:27,tcp-syn,2
1970/01/01 06:15:35,tcp-syn,1
1970/01/01 06:15:36,tcp-syn,1
1970/01/01 06:15:44,tcp-syn,1
1970/01/01 06:15:50,tcp-syn,1
1970/01/01 06:15:53,tcp-syn,1
1970/01/01 06:15:54,tcp-syn,2
1970/01/01 06:15:55,tcp-syn,2
1970/01/01 06:16:03,tcp-syn,1
1970/01/01 06:16:12,tcp-syn,3
1970/01/01 06:16:21,tcp-syn,2
1970/01/01 06:16:27,tcp-syn,1
1970/01/01 06:16:34,tcp-syn,2
1970/01/01 06:16:36,tcp-syn,2
1970/01/01 06:16:41,tcp-syn,1
1970/01/01 06:16:46,tcp-syn,1
1970/01/01 06:16:46,udp,1
1970/01/01 06:16:51,tcp-syn,3
1970/01/01 06:16:53,tcp-syn,2
1970/01/01 06:16:54,tcp-syn,2
1970/01/01 06:16:56,tcp-syn,1
1970/01/01 06:16:57,tcp-syn,2
1970/01/01 06:17:01,tcp-syn,1
1970/01/01 06:17:01,icmp,1
1970/01/01 06:17:03,tcp-syn,2
1970/01/01 06:17:19,tcp-syn,1
1970/01/01 06:17:32,tcp-syn,2
1970/01/01 06:17:33,tcp-syn,1
1970/01/01 06:17:39,tcp-syn,1
1970/01/01 06:17:46,tcp-syn,2
1970/01/01 06:17:48,tcp-syn,2
1970/01/01 06:17:51,tcp-syn,2
1970/01/01 06:18:02,tcp-syn,1
1970/01/01 06:18:06,tcp-syn,1
1970/01/01 06:18:20,tcp-syn,2
1970/01/01 06:18:24,tcp-syn,1
1970/01/01 06:18:26,udp,1
1970/01/01 06:18:35,tcp-syn,1
1970/01/01 06:18:39,tcp-syn,1
1970/01/01 06:18:42,tcp-syn,5
1970/01/01 06:18:49,tcp-syn,4
1970/01/01 06:18:55,tcp-syn,1
1970/01/01 06:19:09,tcp-syn,2
1970/01/01 06:19:10,tcp-syn,1
1970/01/01 06:19:14,tcp-syn,1
1970/01/01 06:19:19,tcp-syn,1
1970/01/01 06:19:20,tcp-syn,1
1970/01/01 06:19:23,tcp-syn,1
1970/01/01 06:19:34,tcp-syn,1
1970/01/01 06:19:38,tcp-syn,2
1970/01/01 06:19:38,udp,1
1970/01/01 06:19:40,tcp-syn,1
1970/01/01 06:19:41,udp,2
1970/01/01 06:19:46,tcp-syn,1
1970/01/01 06:19:47,tcp-syn,1
1970/01/01 06:19:50,tcp-syn,1
1970/01/01 06:19:55,udp,1
1970/01/01 06:19:59,udp,1
1970/01/01 06:20:12,tcp-syn,1
1970/01/01 06:20:13,udp,1
1970/01/01 06:20:20,tcp-syn,2
1970/01/01 06:20:20,icmp,1
1970/01/01 06:20:22,tcp-syn,1
1970/01/01 06:20:26,tcp-syn,2
1970/01/01 06:20:27,tcp-syn,1
1970/01/01 06:20:32,tcp-syn,1
1970/01/01 06:20:34,tcp-syn,1
1970/01/01 06:20:39,udp,1
1970/01/01 06:20:42,tcp-syn,2
1970/01/01 06:20:52,tcp-syn,1
1970/01/01 06:20:56,tcp-syn,1
1970/01/01 06:21:11,udp,6
1970/01/01 06:21:12,tcp-syn,2
1970/01/01 06:21:17,tcp-syn,1
1970/01/01 06:21:23,udp,1
1970/01/01 06:21:24,tcp-syn,1
1970/01/01 06:21:28,tcp-syn,2
1970/01/01 06:21:31,tcp-syn,1
1970/01/01 06:21:43,tcp-syn,2
1970/01/01 06:21:45,tcp-syn,1
1970/01/01 06:21:55,tcp-syn,1
1970/01/01 06:22:05,tcp-syn,1
1970/01/01 06:22:07,tcp-syn,2
1970/01/01 06:22:17,tcp-syn,1
1970/01/01 06:22:17,udp,1
1970/01/01 06:22:18,tcp-syn,2
1970/01/01 06:22:22,tcp-syn,1
1970/01/01 06:22:23,tcp-syn,1
1970/01/01 06:22:24,tcp-syn,1
1970/01/01 06:22:26,tcp-syn,1
1970/01/01 06:22:28,udp,2
1970/01/01 06:22:30,tcp-syn,1
1970/01/01 06:22:31,tcp-syn,1
1970/01/01 06:22:32,tcp-syn,1
1970/01/01 06:22:38,tcp-syn,1
1970/01/01 06:22:44,tcp-syn,1
1970/01/01 06:22:51,tcp-syn,1
1970/01/01 06:22:55,other-ip,1
1970/01/01 06:22:58,udp,1
1970/01/01 06:23:08,tcp-syn,1
1970/01/01 06:23:12,tcp-syn,2
1970/01/01 06:23:15,tcp-syn,1
1970/01/01 06:23:17,tcp-syn,5
1970/01/01 06:23:33,tcp-syn,1
1970/01/01 06:23:39,tcp-syn,1
1970/01/01 06:23:44,tcp-syn,1
1970/01/01 06:23:48,tcp-syn,2
1970/01/01 06:24:00,icmp,1
1970/01/01 06:24:05,tcp-syn,1
1970/01/01 06:24:12,tcp-syn,2
1970/01/01 06:24:18,tcp-syn,2
1970/01/01 06:24:25,tcp-syn,1
1970/01/01 06:24:35,tcp-syn,1
1970/01/01 06:24:37,tcp-syn,2
1970/01/01 06:24:39,tcp-syn,2
1970/01/01 06:24:41,tcp-syn,1
1970/01/01 06:24:42,tcp-syn,2
1970/01/01 06:24:46,tcp-syn,5
1970/01/01 06:24:48,tcp-syn,1
1970/01/01 06:25:07,tcp-syn,1
1970/01/01 06:25:10,udp,1
1970/01/01 06:25:18,tcp-syn,1
1970/01/01 06:25:20,tcp-syn,2
1970/01/01 06:25:25,tcp-syn,1
1970/01/01 06:25:33,tcp-syn,1
1970/01/01 06:25:34,tcp-syn,2
1970/01/01 06:25:35,tcp-syn,2
1970/01/01 06:25:42,tcp-syn,1
1970/01/01 06:25:47,tcp-syn,2
1970/01/01 06:25:49,tcp-syn,2
1970/01/01 06:25:51,tcp-syn,1
1970/01/01 06:25:52,tcp-syn,1
1970/01/01 06:26:07,tcp-syn,2
1970/01/01 06:26:08,tcp-syn,2
1970/01/01 06:26:09,tcp-syn,1
1970/01/01 06:26:11,udp,2
1970/01/01 06:26:15,tcp-syn,1
1970/01/01 06:26:32,tcp-syn,1
1970/01/01 06:26:33,tcp-syn,1
1970/01/01 06:26:39,udp,1
1970/01/01 06:26:40,tcp-syn,1
1970/01/01 06:26:43,icmp,2
1970/01/01 06:26:45,tcp-syn,1
1970/01/01 06:26:50,tcp-syn,2
1970/01/01 06:26:51,tcp-syn,5
1970/01/01 06:27:03,tcp-syn,5
1970/01/01 06:27:14,udp,2
1970/01/01 06:27:21,tcp-syn,1
1970/01/01 06:27:23,udp,6
1970/01/01 06:27:24,tcp-syn,2
1970/01/01 06:27:45,tcp-syn,1
1970/01/01 06:27:48,tcp-syn,1
1970/01/01 06:27:50,tcp-syn,2
1970/01/01 06:27:54,tcp-syn,2
1970/01/01 06:27:57,tcp-syn,1
1970/01/01 06:28:02,tcp-syn,1
1970/01/01 06:28:03,tcp-syn,1
1970/01/01 06:28:07,tcp-syn,1
1970/01/01 06:28:08,tcp-syn,2
1970/01/01 06:28:09,tcp-syn,2
1970/01/01 06:28:10,tcp-syn,1
1970/01/01 06:28:13,tcp-syn,1
1970/01/01 06:28:15,tcp-syn,1
1970/01/01 06:28:17,tcp-syn,1
1970/01/01 06:28:19,tcp-syn,1
1970/01/01 06:28:27,tcp-syn,1
1970/01/01 06:28:33,tcp-syn,1
1970/01/01 06:28:35,tcp-syn,1
1970/01/01 06:28:40,tcp-syn,2
1970/01/01 06:28:41,tcp-syn,1
1970/01/01 06:28:50,tcp-syn,1
1970/01/01 06:28:51,tcp-syn,5
1970/01/01 06:28:52,tcp-syn,1
1970/01/01 06:28:56,icmp,1
1970/01/01 06:28:59,tcp-syn,1
1970/01/01 06:29:04,tcp-syn,1
1970/01/01 06:29:08,tcp-syn,1
1970/01/01 06:29:09,tcp-syn,2
1970/01/01 06:29:10,tcp-syn,2
1970/01/01 06:29:26,tcp-syn,2
1970/01/01 06:29:30,tcp-syn,1
1970/01/01 06:29:34,tcp-syn,1
1970/01/01 06:29:36,tcp-syn,1
1970/01/01 06:29:39,tcp-syn,1
1970/01/01 06:29:53,tcp-syn,1
1970/01/01 06:29:57,tcp-syn,1
1970/01/01 06:30:01,udp,1
1970/01/01 06:30:02,tcp-syn,1
1970/01/01 06:30:10,tcp-syn,2
1970/01/01 06:30:12,tcp-syn,1
1970/01/01 06:30:14,tcp-syn,1
1970/01/01 06:30:17,tcp-syn,1
1970/01/01 06:30:18,tcp-syn,1
1970/01/01 06:30:23,tcp-syn,1
1970/01/01 06:30:36,tcp-syn,2
1970/01/01 06:30:40,tcp-syn,1
1970/01/01 06:30:46,tcp-syn,1
1970/01/01 06:30:52,tcp-syn,3
1970/01/01 06:30:56,tcp-syn,2
